Date	Sentiment
05/10/2014 19:58	Negative
05/10/2014 19:58	Positive
05/10/2014 19:58	Positive
05/10/2014 19:58	Neutral
05/10/2014 19:58	Neutral
05/10/2014 19:57	Negative
05/10/2014 19:57	Positive
05/10/2014 19:57	Neutral
05/10/2014 19:57	Positive
05/10/2014 19:57	Positive
05/10/2014 19:57	Negative
05/10/2014 19:56	Positive
05/10/2014 19:55	Positive
05/10/2014 19:55	Positive
05/10/2014 19:55	Positive
05/10/2014 19:55	Negative
05/10/2014 19:55	Negative
05/10/2014 19:55	Negative
05/10/2014 19:55	Positive
05/10/2014 19:55	Negative
05/10/2014 19:54	Negative
05/10/2014 19:54	Negative
05/10/2014 19:54	Negative
05/10/2014 19:54	Positive
05/10/2014 19:54	Positive
05/10/2014 19:54	Positive
05/10/2014 19:54	Positive
05/10/2014 19:54	Positive
05/10/2014 19:53	Neutral
05/10/2014 19:53	Positive
05/10/2014 19:53	Positive
05/10/2014 19:53	Neutral
05/10/2014 19:52	Negative
05/10/2014 19:52	Positive
05/10/2014 19:52	Positive
05/10/2014 19:52	Positive
05/10/2014 19:52	Positive
05/10/2014 19:52	Positive
05/10/2014 19:51	Neutral
05/10/2014 19:51	Positive
05/10/2014 19:51	Positive
05/10/2014 19:51	Negative
05/10/2014 19:51	Positive
05/10/2014 19:51	Neutral
05/10/2014 19:50	Negative
05/10/2014 19:50	Positive
05/10/2014 19:50	Positive
05/10/2014 19:50	Positive
05/10/2014 19:49	Positive
05/10/2014 19:49	Positive
05/10/2014 19:49	Positive
05/10/2014 19:49	Positive
05/10/2014 19:49	Negative
05/10/2014 19:49	Neutral
05/10/2014 19:48	Positive
05/10/2014 19:48	Positive
05/10/2014 19:48	Positive
05/10/2014 19:48	Positive
05/10/2014 19:47	Negative
05/10/2014 19:47	Positive
05/10/2014 19:46	Neutral
05/10/2014 19:46	Neutral
05/10/2014 19:46	Negative
05/10/2014 19:46	Positive
05/10/2014 19:46	Neutral
05/10/2014 19:46	Neutral
05/10/2014 19:46	Neutral
05/10/2014 19:46	Positive
05/10/2014 19:45	Negative
05/10/2014 19:45	Negative
05/10/2014 19:45	Positive
05/10/2014 19:45	Neutral
05/10/2014 19:44	Negative
05/10/2014 19:44	Positive
05/10/2014 19:44	Negative
05/10/2014 19:43	Neutral
05/10/2014 19:43	Positive
05/10/2014 19:43	Neutral
05/10/2014 19:43	Positive
05/10/2014 19:43	Neutral
05/10/2014 19:43	Negative
05/10/2014 19:42	Positive
05/10/2014 19:42	Negative
05/10/2014 19:42	Neutral
05/10/2014 19:42	Positive
05/10/2014 19:41	Neutral
05/10/2014 19:41	Positive
05/10/2014 19:41	Positive
05/10/2014 19:41	Negative
05/10/2014 19:41	Positive
05/10/2014 19:41	Positive
05/10/2014 19:41	Neutral
05/10/2014 19:41	Positive
05/10/2014 19:40	Negative
05/10/2014 19:40	Positive
05/10/2014 19:40	Positive
05/10/2014 19:40	Negative
05/10/2014 19:40	Neutral
05/10/2014 19:40	Neutral
05/10/2014 19:40	Positive
05/10/2014 19:40	Neutral
05/10/2014 19:39	Positive
05/10/2014 19:39	Negative
05/10/2014 19:39	Positive
05/10/2014 19:39	Positive
05/10/2014 19:39	Neutral
05/10/2014 19:39	Neutral
05/10/2014 19:39	Positive
05/10/2014 19:38	Positive
05/10/2014 19:38	Negative
05/10/2014 19:38	Negative
05/10/2014 19:37	Neutral
05/10/2014 19:37	Negative
05/10/2014 19:37	Positive
05/10/2014 19:36	Neutral
05/10/2014 19:36	Positive
05/10/2014 19:36	Neutral
05/10/2014 19:36	Positive
05/10/2014 19:36	Neutral
05/10/2014 19:36	Positive
05/10/2014 19:36	Neutral
05/10/2014 19:36	Positive
05/10/2014 19:36	Negative
05/10/2014 19:35	Positive
05/10/2014 19:35	Negative
05/10/2014 19:35	Neutral
05/10/2014 19:35	Negative
05/10/2014 19:35	Neutral
05/10/2014 19:35	Positive
05/10/2014 19:35	Negative
05/10/2014 19:35	Positive
05/10/2014 19:34	Positive
05/10/2014 19:34	Negative
05/10/2014 19:34	Neutral
