username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
ArthurKuhn7,2018-06-02 19:44,0,0,Parabéns Geraldo!,,,,1.00304475557881E+018,https://twitter.com/ArthurKuhn7/status/1003044755578806277,,
gibapere,2018-06-02 19:44,0,0,O brinde que o Ex Governador Geraldo Alckmin distribuiu para o Brasil de SP. https:// twitter.com/UOLNoticias/st atus/1003038496209166336 …,,,,1.00304471672697E+018,https://twitter.com/gibapere/status/1003044716726968321,,
ArthurKuhn7,2018-06-02 19:43,0,0,"Rodovias melhores, Brasil melhor!",,,,1.0030445753453E+018,https://twitter.com/ArthurKuhn7/status/1003044575345299457,,
CartasMarottas,2018-06-02 19:43,0,0,"Gente, olha que legal! Descobri que o Santo Chuchu vai votar no @LulapeloBrasil #LulaLivre !",,@LulapeloBrasil,#LulaLivre,1.00304441396113E+018,https://twitter.com/CartasMarottas/status/1003044413961134081,,
ArthurKuhn7,2018-06-02 19:42,0,0,Vai melhorar com o senhor,,,,1.00304429096317E+018,https://twitter.com/ArthurKuhn7/status/1003044290963169280,,
ArthurKuhn7,2018-06-02 19:41,0,0,T R A B A L H O #GERALDOPRESIDENTE,,,#GERALDOPRESIDENTE,1.0030440462003E+018,https://twitter.com/ArthurKuhn7/status/1003044046200299520,,
ArthurKuhn7,2018-06-02 19:40,0,0,Alckmin melhorando a habitação,,,,1.0030438257687E+018,https://twitter.com/ArthurKuhn7/status/1003043825768697856,,
ArthurKuhn7,2018-06-02 19:39,0,0,Saúde pública irá melhorar MUITO com Geraldo eleito,,,,1.00304357744074E+018,https://twitter.com/ArthurKuhn7/status/1003043577440735237,,
dariojjunior,2018-06-02 19:39,21,84,"Geraldo Alckmin é o candidato Plunct, Plact, Zum. Não vai a lugar nenhum.",,,,1.0030434810179E+018,https://twitter.com/dariojjunior/status/1003043481017896965,,
ArthurKuhn7,2018-06-02 19:39,0,0,ALCKMIN TRABALHADOR!,,,,1.00304337840842E+018,https://twitter.com/ArthurKuhn7/status/1003043378408419328,,
